>HMT-748_16S000001 HMT-748 Campylobacter rectus
>HMT-580_16S000002 HMT-580 Campylobacter curvus
>HMT-151_16S000003 HMT-151 Selenomonas sputigena
>HMT-684_16S000004 HMT-684 Mitsuokella multacida
>HMT-580_16S000005 HMT-580 Campylobacter curvus
>HMT-580_16S000006 HMT-580 Campylobacter curvus
>HMT-580_16S000007 HMT-580 Campylobacter curvus
>HMT-136_16S000008 HMT-136 Selenomonas felix
>HMT-136_16S000009 HMT-136 Selenomonas felix
>HMT-542_16S000010 HMT-542 Peptostreptococcus anaerobius
>HMT-072_16S000011 HMT-072 Corynebacterium striatum
>HMT-684_16S000012 HMT-684 Mitsuokella multacida
>HMT-776_16S000013 HMT-776 Campylobacter sputorum
>HMT-989_16S000014 HMT-989 Saccharimonadales [F2 G1] bacterium HMT-989
>HMT-677_16S000015 HMT-677 Streptococcus mitis
>HMT-460_16S000016 HMT-460 Lachnoanaerobaculum gingivalis
>HMT-718_16S000017 HMT-718 Haemophilus parainfluenzae
>HMT-818_16S000018 HMT-818 Limosilactobacillus reuteri
>HMT-818_16S000019 HMT-818 Limosilactobacillus reuteri
>HMT-818_16S000020 HMT-818 Limosilactobacillus reuteri
>HMT-608_16S000021 HMT-608 Limosilactobacillus fermentum
>HMT-818_16S000022 HMT-818 Limosilactobacillus reuteri
>HMT-608_16S000023 HMT-608 Limosilactobacillus fermentum
>HMT-818_16S000024 HMT-818 Limosilactobacillus reuteri
>HMT-818_16S000025 HMT-818 Limosilactobacillus reuteri
>HMT-608_16S000026 HMT-608 Limosilactobacillus fermentum
>HMT-818_16S000027 HMT-818 Limosilactobacillus reuteri
>HMT-882_16S000028 HMT-882 Limosilactobacillus panis
>HMT-608_16S000029 HMT-608 Limosilactobacillus fermentum
>HMT-818_16S000030 HMT-818 Limosilactobacillus reuteri
>HMT-818_16S000031 HMT-818 Limosilactobacillus reuteri
>HMT-608_16S000032 HMT-608 Limosilactobacillus fermentum
>HMT-818_16S000033 HMT-818 Limosilactobacillus reuteri
>HMT-818_16S000034 HMT-818 Limosilactobacillus reuteri
>HMT-608_16S000035 HMT-608 Limosilactobacillus fermentum
>HMT-818_16S000036 HMT-818 Limosilactobacillus reuteri
>HMT-882_16S000037 HMT-882 Limosilactobacillus panis
>HMT-818_16S000038 HMT-818 Limosilactobacillus reuteri
>HMT-818_16S000039 HMT-818 Limosilactobacillus reuteri
>HMT-818_16S000040 HMT-818 Limosilactobacillus reuteri
>HMT-882_16S000041 HMT-882 Limosilactobacillus panis
>HMT-818_16S000042 HMT-818 Limosilactobacillus reuteri
>HMT-818_16S000043 HMT-818 Limosilactobacillus reuteri
>HMT-818_16S000044 HMT-818 Limosilactobacillus reuteri
>HMT-818_16S000045 HMT-818 Limosilactobacillus reuteri
>HMT-818_16S000046 HMT-818 Limosilactobacillus reuteri
>HMT-608_16S000047 HMT-608 Limosilactobacillus fermentum
>HMT-818_16S000048 HMT-818 Limosilactobacillus reuteri
>HMT-818_16S000049 HMT-818 Limosilactobacillus reuteri
>HMT-818_16S000050 HMT-818 Limosilactobacillus reuteri
>HMT-608_16S000051 HMT-608 Limosilactobacillus fermentum
>HMT-608_16S000052 HMT-608 Limosilactobacillus fermentum
>HMT-818_16S000053 HMT-818 Limosilactobacillus reuteri
>HMT-818_16S000054 HMT-818 Limosilactobacillus reuteri
>HMT-608_16S000055 HMT-608 Limosilactobacillus fermentum
>HMT-818_16S000056 HMT-818 Limosilactobacillus reuteri
>HMT-818_16S000057 HMT-818 Limosilactobacillus reuteri
>HMT-818_16S000058 HMT-818 Limosilactobacillus reuteri
>HMT-608_16S000059 HMT-608 Limosilactobacillus fermentum
>HMT-818_16S000060 HMT-818 Limosilactobacillus reuteri
>HMT-818_16S000061 HMT-818 Limosilactobacillus reuteri
>HMT-818_16S000062 HMT-818 Limosilactobacillus reuteri
