HOMD.org Taxon Data::No Filter Applied Date: 2025-05-15			
HMT-ID	Genus	Species	NCBI Taxon ID
HMT-001	Bartonella	schoenbuchensis	165694
HMT-002	Caulobacter	sp. HMT-002	712237
HMT-003	Sphingomonas	glacialis	658225
HMT-004	Sphingomonas	sp. HMT-004	712605
HMT-005	Acinetobacter	lwoffii	28090
HMT-006	Novosphingobium	humi	2282397
HMT-007	Erythrobacter	tepidarius	60454
HMT-008	Mogibacterium	vescum	86333
HMT-010	Acinetobacter	radioresistens	40216
HMT-011	Eikenella	sp. HMT-011	712272
HMT-012	Kingella	sp. HMT-012	712319
HMT-013	Neisseria	bacilliformis	267212
HMT-014	Neisseria	oralis	1107316
HMT-017	Anaerococcus	octavius	54007
HMT-018	Neisseria	sp. HMT-018	712400
HMT-019	Corynebacterium	accolens	38284
HMT-020	Neisseria	sp. HMT-020	712401
HMT-021	Streptococcus	vestibularis	1343
HMT-022	Lautropia	mirabilis	47671
HMT-023	Delftia	acidovorans	80866
HMT-024	Schlegelella	thermodepolymerans	215580
HMT-025	Leptothrix	sp. HMT-025	712353
HMT-026	Schlegelella	aquatica	376175
HMT-027	Cupriavidus	gilardii	82541
HMT-028	Oryzomicrobium	terrae	1735038
HMT-029	Treponema	vincentii	69710
HMT-030	Corynebacterium	afermentans	38286
HMT-031	Corynebacterium	amycolatum	43765
HMT-032	Pseudomonas	sp. HMT-032	712508
HMT-033	Corynebacterium	appendicis	163202
HMT-034	Corynebacterium	aurimucosum	169292
HMT-035	Haemophilus	paraphrohaemolyticus	736
HMT-036	Haemophilus	sp. HMT-036	712310
HMT-037	Stenotrophomonas	nitritireducens	83617
HMT-038	Olsenella	uli	133926
HMT-039	Bdellovibrio	sp. HMT-039	712185
HMT-040	Desulfovibrio	sp. HMT-040	712259
HMT-041	Desulfobulbus	oralis	712258
HMT-042	Mogibacterium	timidum	35519
HMT-043	Actinomyces	oris	0
HMT-044	Campylobacter	sp. HMT-044	712200
HMT-045	Alkalihalobacillus	clausii	79880
HMT-046	Gemella	morbillorum	29391
HMT-047	Corynebacterium	jeikeium	38289
HMT-048	Paenibacillus	typhae	1174501
HMT-049	Corynebacterium	kroppenstedtii	161879
HMT-050	Corynebacterium	macginleyi	38290
HMT-051	Limosilactobacillus	vaginalis	1633
HMT-052	Limosilactobacillus	sp. HMT-052	671212
HMT-053	Corynebacterium	minutissimum	38301
HMT-054	Corynebacterium	pilbarense	1288393
HMT-056	Streptococcus	sp. HMT-056	712620
HMT-057	Streptococcus	sp. HMT-057	712621
HMT-058	Streptococcus	sp. HMT-058	1458253
HMT-059	Corynebacterium	propinquum	43769
HMT-060	Corynebacterium	pseudodiphtheriticum	37637
HMT-061	Streptococcus	infantis	712623
HMT-062	Corynebacterium	simulans	146827
HMT-063	Corynebacterium	singulare	161899
HMT-064	Streptococcus	sp. HMT-064	712624
HMT-066	Streptococcus	sp. HMT-066	712626
HMT-070	Streptococcus	sp. HMT-070	1077464
HMT-071	Streptococcus	oralis	1077464
HMT-072	Corynebacterium	striatum	43770
HMT-073	Streptococcus	australis	113107
HMT-074	Streptococcus	sp. HMT-074	712631
HMT-075	Ruminococcaceae [G1]	bacterium HMT-075	216572
HMT-076	Staphylococcus	warneri	1292
HMT-077	Corynebacterium	tuberculostearicum	38304
HMT-078	Oribacterium	sp. HMT-078	652706
HMT-079	Actinomyces	oris	0
HMT-080	Butyrivibrio	sp. HMT-080	830
HMT-081	Peptoanaerobacter	sp. HMT-081	186804
HMT-082	Lachnoanaerobaculum	orale	979627
HMT-083	Lachnoanaerobaculum	sp. HMT-083	1164882
HMT-084	Kocuria	palustris	71999
HMT-085	Ruminococcaceae [G2]	bacterium HMT-085	216572
HMT-086	Lachnospiraceae [G7]	bacterium HMT-086	186803
HMT-087	Micrococcus	luteus	1270
HMT-088	Lachnospiraceae [G2]	bacterium HMT-088	186803
HMT-089	Lachnoanaerobaculum	sp. HMT-089	1164882
HMT-090	Butyrivibrio	sp. HMT-090	830
HMT-091	Anaerovoracaceae [G2]	bacterium HMT-091	186804
HMT-092	Neisseria	weaveri	28091
HMT-093	Clostridiales [F1 G1]	bacterium HMT-093	186802
HMT-094	Lachnospiraceae [G10]	bacterium HMT-094	186803
HMT-095	Shuttleworthia	satelles	177972
HMT-096	Lachnospiraceae [G2]	bacterium HMT-096	186803
HMT-097	Moryella	sp. HMT-097	1213720
HMT-098	Moraxella	nonliquefaciens	478
HMT-099	Neisseria	macacae	496
HMT-100	Lachnospiraceae [G3]	bacterium HMT-100	186803
HMT-101	Neisseria	perflava	33053
HMT-102	Oribacterium	sp. HMT-102	671214
HMT-103	Anaerovoracaceae [G4]	bacterium HMT-103	186804
HMT-104	Paracoccus	yeei	147645
HMT-105	Anaerovoracaceae [G1]	infirmum	186804
HMT-106	Peptoanaerobacter	yurii	186804
HMT-107	Lachnoanaerobaculum	umeaense	617123
HMT-108	Oribacterium	asaccharolyticum	1501332
HMT-109	Peptoniphilus	harei	54005
HMT-110	Parvimonas	sp. HMT-110	671230
HMT-111	Parvimonas	micra	33033
HMT-112	Peptostreptococcus	stomatis	341694
HMT-113	Peptoniphilaceae [G1]	bacterium HMT-113	1570339
HMT-114	Cutibacterium	granulosum	33011
HMT-115	Serratia	marcescens	615
HMT-116	Staphylococcus	capitis	29388
HMT-117	Staphylococcus	cohnii	29382
HMT-118	Dialister	invisus	218538
HMT-119	Dialister	sp. HMT-119	712261
HMT-120	Staphylococcus	haemolyticus	1283
HMT-121	Anaeroglobus	geminatus	156456
HMT-122	Megasphaera	micronuciformis	187326
HMT-123	Anaeroglobus	massiliensis	1852379
HMT-124	Selenomonas	artemidis	671224
HMT-125	Selenomonas	flueggei	135080
HMT-126	Selenomonas	sp. HMT-126	712528
HMT-127	Staphylococcus	hominis	1290
HMT-128	Staphylococcus	lugdunensis	28035
HMT-129	Selenomonadaceae [G1]	bacterium HMT-129	1843491
HMT-130	Selenomonas	noxia	135083
HMT-131	Mitsuokella	sp. HMT-131	1321780
HMT-132	Selenomonadaceae [G1]	bacterium HMT-132	1843491
HMT-133	Selenomonas	sp. HMT-133	712529
HMT-134	Selenomonas	sp. HMT-134	712530
HMT-135	Selenomonadaceae [G1]	bacterium HMT-135	1843491
HMT-136	Selenomonas	felix	713030
HMT-138	Selenomonas	timonae	712532
HMT-139	Selenomonas	dianae	135079
HMT-141	Staphylococcus	pasteuri	45972
HMT-142	Staphylococcus	pettenkoferi	170573
HMT-144	Actinomyces	oris	0
HMT-145	Selenomonadaceae [G1]	bacterium HMT-145	1843491
HMT-146	Selenomonas	sp. HMT-146	712534
HMT-147	Rothia	mucilaginosa	0
HMT-148	Selenomonadaceae [G1]	bacterium HMT-148	1843491
HMT-150	Selenomonadaceae [G1]	bacterium HMT-150	1843491
HMT-151	Selenomonas	sputigena	69823
HMT-152	Streptococcus	thermophilus	1308
HMT-153	Klebsiella	aerogenes	548
HMT-154	Moraxella	lincolnii	90241
HMT-155	Selenomonadaceae [G1]	bacterium HMT-155	1843491
HMT-156	Veillonella	nakazawae	0
HMT-157	Veillonella	sp. HMT-157	0
HMT-158	Veillonella	rogosae	423477
HMT-160	Veillonella	dispar	39778
HMT-161	Veillonella	parvula	29466
HMT-163	Lachnospiraceae [G7]	bacterium HMT-163	186803
HMT-164	Catonella	sp. HMT-164	712233
HMT-165	Catonella	morbi	43997
HMT-166	Johnsonella	sp. HMT-166	712318
HMT-167	Peptococcus	sp. HMT-167	671215
HMT-168	Peptococcus	sp. HMT-168	712426
HMT-169	Actinomyces	oris	712116
HMT-170	Actinomyces	sp. HMT-170	712117
HMT-171	Actinomyces	oris	706438
HMT-172	Schaalia	sp. HMT-172	712118
HMT-173	Lawsonella	clevelandensis	1528099
HMT-174	Neisseriaceae [G1]	bacterium HMT-174	481
HMT-176	Actinomyces	naeslundii	1655
HMT-178	Schaalia	hongkongensis	710238
HMT-179	Actinomyces	timonensis	1288391
HMT-180	Schaalia	sp. HMT-180	651609
HMT-181	Schaalia	lingnae	114702
HMT-182	Anoxybacillus	flavithermus	33934
HMT-183	Peptidiphaga	sp. HMT-183	712888
HMT-184	Corynebacterium	tuscaniense	302449
HMT-185	Microbacterium	ginsengisoli	400772
HMT-186	Microbacterium	sp. HMT-186	69366
HMT-187	Peptoniphilus	grossensis	162289
HMT-188	Rothia	aeria	172042
HMT-189	Kocuria	atrinae	592377
HMT-190	Arsenicicoccus	sp. HMT-190	229480
HMT-191	Propionibacterium	acidifaciens	1410036
HMT-192	Brooklawnia	sp. HMT-192	31957
HMT-193	Cutibacterium	modestum	671223
HMT-194	Arachnia	rubra	1547448
HMT-195	Scardovia	wiggsiae	230143
HMT-196	Enhydrobacter	aerosaccus	225324
HMT-197	Kocuria	rhizophila	72000
HMT-198	Alloscardovia	omnicolens	419015
HMT-199	Lancefieldella	sp. HMT-199	712156
HMT-200	Fusobacterium	vincentii	155615
HMT-201	Fusobacterium	periodonticum	860
HMT-202	Fusobacterium	polymorphum	76857
HMT-203	Fusobacterium	sp. HMT-203	671211
HMT-204	Fusobacterium	sp. HMT-204	848
HMT-205	Fusobacterium	sp. HMT-205	710237
HMT-206	Cloacibacterium	sp. HMT-206	501783
HMT-207	Corynebacterium	gottingense	2041036
HMT-208	Corynebacterium	bovis	36808
HMT-209	Acidovorax	ebreus	721785
HMT-211	Paenacidovorax	caeni	343013
HMT-212	Pseudoleptotrichia	sp. HMT-212	712357
HMT-213	Leptotrichia	hongkongensis	554406
HMT-214	Leptotrichia	shahii	157691
HMT-215	Pseudoleptotrichia	sp. HMT-215	712359
HMT-216	Acidovorax	temperans	80878
HMT-217	Pseudoleptotrichia	sp. HMT-217	712360
HMT-218	Leptotrichia	sp. HMT-218	712361
HMT-219	Pseudoleptotrichia	sp. HMT-219	652714
HMT-221	Leptotrichia	sp. HMT-221	712362
HMT-222	Leptotrichia	wadei	157687
HMT-223	Leptotrichia	sp. HMT-223	712363
HMT-224	Leptotrichia	hofstadii	157688
HMT-225	Leptotrichia	sp. HMT-225	671213
HMT-226	Treponema	sp. HMT-226	712715
HMT-227	Treponema	sp. HMT-227	712716
HMT-228	Treponema	sp. HMT-228	712717
HMT-229	Arthrospira	platensis	118562
HMT-230	Treponema	sp. HMT-230	712718
HMT-231	Treponema	sp. HMT-231	712719
